x_coordinate,y_coordinate,latitude,longitude
1398, -318, 54.39353009993681, 11.11644665583267
1870, -296, 54.437232366238604, 13.026542320542504
2300, -1782, 50.82158548797283, 14.766711498389775
1857, -3053, 47.463708419024705, 13.003253221506123
541, -3028, 47.536038222206784, 7.673516697684008
90, -1694, 51.051837116277255, 5.865762865196948
788, -102, 54.899500515516216, 8.635282242118539
